Index; Text; Cause; Effect; Offset_Sentence2; Offset_Sentence3; Cause_Start; Cause_End; Effect_Start; Effect_End; Sentence
0336.00020; Thomas Cook ceased trading in the early hours of Monday after failing to secure a last-ditch rescue deal. About 9,000 staff in the UK face redundancy.; Thomas Cook ceased trading in the early hours of Monday after failing to secure a last-ditch rescue deal.; About 9,000 staff in the UK face redundancy.; 105; ;0.0;105.0;106.0;150.0; <e1>Thomas Cook ceased trading in the early hours of Monday after failing to secure a last-ditch rescue deal.</e1> <e2>About 9,000 staff in the UK face redundancy.</e2>
0210.00032;However, there is a significant execution risk regarding its business plan and the macroeconomic environment has deteriorated further in the past two months due to increasing expectations of lower rates for longer in Europe, which has prompted the bank to slightly change its guidance of revenue target in 2022 from about €25 billion, to €24-25 billion.;However, there is a significant execution risk regarding its business plan and the macroeconomic environment has deteriorated further in the past two months due to increasing expectations of lower rates for longer in Europe;the bank to slightly change its guidance of revenue target in 2022 from about €25 billion, to €24-25 billion.;;;0.0;223.0;244.0;353.0;<e1>However, there is a significant execution risk regarding its business plan and the macroeconomic environment has deteriorated further in the past two months due to increasing expectations of lower rates for longer in Europe</e1>, which has prompted <e2>the bank to slightly change its guidance of revenue target in 2022 from about €25 billion, to €24-25 billion.</e2>
0192.00001.1;Highland/iBoxx Senior Loan ETF (SNLN) To Go Ex-Dividend on September 13th Highland/iBoxx Senior Loan ETF (NASDAQ:SNLN) announced a  -  dividend on Friday, September 13th, Wall Street Journal reports. Stockholders of record on Monday, September 16th will be given a dividend of 0.0572 per share on Monday, September 30th. This represents a dividend yield of 5.2%.;Highland/iBoxx Senior Loan ETF (SNLN) To Go Ex-Dividend on September 13th Highland/iBoxx Senior Loan ETF (NASDAQ:SNLN) announced a  -  dividend on Friday, September 13th, Wall Street Journal reports.;Stockholders of record on Monday, September 16th will be given a dividend of 0.0572 per share on Monday, September 30th.;199.0;320.0;0.0;199.0;200.0;320.0;<e1>Highland/iBoxx Senior Loan ETF (SNLN) To Go Ex-Dividend on September 13th Highland/iBoxx Senior Loan ETF (NASDAQ:SNLN) announced a  -  dividend on Friday, September 13th, Wall Street Journal reports.</e1> <e2>Stockholders of record on Monday, September 16th will be given a dividend of 0.0572 per share on Monday, September 30th.</e2> This represents a dividend yield of 5.2%.
0387.00045; Currently, one of our favorite picks in Anally Capital (NLY) with a yield of 12%, and which can double in price in case we hit a recession.; we hit a recession.; Currently, one of our favorite picks in Anally Capital (NLY) with a yield of 12%, and which can double in price; ; ;120.0;139.0;0.0;111.0; <e2>Currently, one of our favorite picks in Anally Capital (NLY) with a yield of 12%, and which can double in price</e2> in case <e1>we hit a recession.</e1>
0305.00005; - - Sell Ratings - Hold Ratings - Buy Ratings - Strong Buy Ratings - Rating Score  - Cambium Networks - 0 - 2 - 4 - 0 - 2.67  - Technical Communications - 0 - 0 - 0 - 0 - N/A  Cambium Networks presently has a consensus price target of $13.58, indicating a potential upside of 24.85%.; Cambium Networks presently has a consensus price target of $13.58; a potential upside of 24.85%.; ; ;176.0;241.0;254.0;283.0; - - Sell Ratings - Hold Ratings - Buy Ratings - Strong Buy Ratings - Rating Score  - Cambium Networks - 0 - 2 - 4 - 0 - 2.67  - Technical Communications - 0 - 0 - 0 - 0 - N/A  <e1>Cambium Networks presently has a consensus price target of $13.58</e1>, indicating <e2>a potential upside of 24.85%.</e2>
0218.00008; PulteGroup Inc., up 55 cents to $35.46  Shares in homebuilders rose after the National Association of Realtors reported U.S. home sales rose 1.3% in August.; the National Association of Realtors reported U.S. home sales rose 1.3% in August.; PulteGroup Inc., up 55 cents to $35.46  Shares in homebuilders rose; ; ;74.0;156.0;0.0;67.0; <e2>PulteGroup Inc., up 55 cents to $35.46  Shares in homebuilders rose</e2> after <e1>the National Association of Realtors reported U.S. home sales rose 1.3% in August.</e1>
0133.00010.2; Ceteris paribus, the fiscal deficit this fiscal will widen to around 4% owing to the stimulus if extra transfers from RBI are counted, the deficit's size could be 3.8%.; extra transfers from RBI are counted; the deficit's size could be 3.8%.; ; ;97.0;133.0;135.0;168.0; Ceteris paribus, the fiscal deficit this fiscal will widen to around 4% owing to the stimulus if <e1>extra transfers from RBI are counted</e1>, <e2>the deficit's size could be 3.8%.</e2>
0246.00001.1; Beasley Broadcast Group Inc (NASDAQ:BBGI) Declares $0.05 Quarterly Dividend Tweet  Beasley Broadcast Group Inc (NASDAQ:BBGI) announced a quarterly dividend on Thursday, August 22nd, Zacks reports. Shareholders of record on Monday, September 30th will be paid a dividend of 0.05 per share on Monday, October 7th. This represents a $0.20 annualized dividend and a dividend yield of 6.39%.; Beasley Broadcast Group Inc (NASDAQ:BBGI) Declares $0.05 Quarterly Dividend Tweet  Beasley Broadcast Group Inc (NASDAQ:BBGI) announced a quarterly dividend on Thursday, August 22nd, Zacks reports.; Shareholders of record on Monday, September 30th will be paid a dividend of 0.05 per share on Monday, October 7th.; 196; 311;0.0;196.0;197.0;311.0; <e1>Beasley Broadcast Group Inc (NASDAQ:BBGI) Declares $0.05 Quarterly Dividend Tweet  Beasley Broadcast Group Inc (NASDAQ:BBGI) announced a quarterly dividend on Thursday, August 22nd, Zacks reports.</e1> <e2>Shareholders of record on Monday, September 30th will be paid a dividend of 0.05 per share on Monday, October 7th.</e2> This represents a $0.20 annualized dividend and a dividend yield of 6.39%.
0060.00036;WeWork is now considering slowing down that growth sharply. It could lay off as many as 5,000 employees, according to one person briefed on the matter.;WeWork is now considering slowing down that growth sharply.;It could lay off as many as 5,000 employees, according to one person briefed on the matter.;59.0;;0.0;59.0;60.0;151.0;<e1>WeWork is now considering slowing down that growth sharply.</e1> <e2>It could lay off as many as 5,000 employees, according to one person briefed on the matter.</e2>
0011.00006; On the other hand, Articles 50, 51 and 52 of Law 1676 of 2013 provide, in short, that secured creditors, in the context of reorganization and liquidation procedures, have special privileges under which they can collect unpaid amounts in more favorable conditions than other creditors whose claims have not been dismissed, thereby reducing their risk almost to zero.; On the other hand, Articles 50, 51 and 52 of Law 1676 of 2013 provide, in short, that secured creditors, in the context of reorganization and liquidation procedures, have special privileges under which they can collect unpaid amounts in more favorable conditions than other creditors whose claims have not been dismissed; reducing their risk almost to zero.; ; ;0.0;320.0;330.0;365.0; <e1>On the other hand, Articles 50, 51 and 52 of Law 1676 of 2013 provide, in short, that secured creditors, in the context of reorganization and liquidation procedures, have special privileges under which they can collect unpaid amounts in more favorable conditions than other creditors whose claims have not been dismissed</e1>, thereby <e2>reducing their risk almost to zero.</e2>
0025.00014;The industry plans to add 28-30 million tonne (MT) steel capacity in the next 5 years, entailing a capital expenditure of Rs 1.4-1.5 lakh crore.;The industry plans to add 28-30 million tonne (MT) steel capacity in the next 5 years;a capital expenditure of Rs 1.4-1.5 lakh crore.;;;0.0;85.0;97.0;144.0;<e1>The industry plans to add 28-30 million tonne (MT) steel capacity in the next 5 years</e1>, entailing <e2>a capital expenditure of Rs 1.4-1.5 lakh crore.</e2>
0195.00003;Analyst Recommendations  This is a summary of current recommendations for Professional Diversity Network and InterXion, as provided by MarketBeat.com.  - - Sell Ratings - Hold Ratings - Buy Ratings - Strong Buy Ratings - Rating Score  - Professional Diversity Network - 0 - 0 - 0 - 0 - N/A  - InterXion - 0 - 3 - 5 - 0 - 2.63  InterXion has a consensus price target of $83.17, suggesting a potential upside of 8.84%.;InterXion has a consensus price target of $83.17;a potential upside of 8.84%.;;;327.0;375.0;388.0;416.0;Analyst Recommendations  This is a summary of current recommendations for Professional Diversity Network and InterXion, as provided by MarketBeat.com.  - - Sell Ratings - Hold Ratings - Buy Ratings - Strong Buy Ratings - Rating Score  - Professional Diversity Network - 0 - 0 - 0 - 0 - N/A  - InterXion - 0 - 3 - 5 - 0 - 2.63  <e1>InterXion has a consensus price target of $83.17</e1>, suggesting <e2>a potential upside of 8.84%.</e2>
0323.00064; Since flotation, the shares are up 25%.; Since flotation; the shares are up 25%.; ; ;0.0;15.0;17.0;39.0; <e1>Since flotation</e1>, <e2>the shares are up 25%.</e2>
0063.00003; RWR traded up $0.29 during trading on Wednesday, hitting $103.68.; RWR traded up $0.29 during trading on Wednesday; hitting $103.68.; ; ;0.0;47.0;49.0;65.0; <e1>RWR traded up $0.29 during trading on Wednesday</e1>, <e2>hitting $103.68.</e2>
0234.00003;Shares of VIDI stock traded up $0.02 on Wednesday, reaching $23.77.;Shares of VIDI stock traded up $0.02 on Wednesday;reaching $23.77.;;;0.0;49.0;51.0;67.0;<e1>Shares of VIDI stock traded up $0.02 on Wednesday</e1>, <e2>reaching $23.77.</e2>
0402.00023; California Public Employees Retirement System boosted its holdings in Travelzoo by 95.5% during the first quarter. California Public Employees Retirement System now owns 198,400 shares of the information services provider's stock valued at $2,659,000 after acquiring an additional 96,900 shares during the period.; California Public Employees Retirement System boosted its holdings in Travelzoo by 95.5% during the first quarter.; California Public Employees Retirement System now owns 198,400 shares of the information services provider's stock valued at $2,659,000 after acquiring an additional 96,900 shares during the period.; 114; ;0.0;114.0;115.0;313.0; <e1>California Public Employees Retirement System boosted its holdings in Travelzoo by 95.5% during the first quarter.</e1> <e2>California Public Employees Retirement System now owns 198,400 shares of the information services provider's stock valued at $2,659,000 after acquiring an additional 96,900 shares during the period.</e2>
0083.00018; Users will be exempt from sales taxes on the wide array of equipment, including new servers and cooling systems, that need constant replacing,  The incentives were designed to attract the kind of large, hyperscale developments needed by companies like Apple, which in 2017 decided to place a new 400K SF, $1.3B hyperscale data center just outside of Des Moines in Waukee, Iowa, a state that had a robust set of incentives, said Tyler Diers, director of legislative relations of the Illinois Chamber of Commerce, which helped put the legislation together.; Users will be exempt from sales taxes on the wide array of equipment, including new servers and cooling systems, that need constant replacing; The incentives were designed to attract the kind of large, hyperscale developments needed by companies like Apple, which in 2017 decided to place a new 400K SF, $1.3B hyperscale data center just outside of Des Moines in Waukee, Iowa, a state that had a robust set of incentives, said Tyler Diers, director of legislative relations of the Illinois Chamber of Commerce, which helped put the legislation together.; ; ;0.0;141.0;144.0;554.0; <e1>Users will be exempt from sales taxes on the wide array of equipment, including new servers and cooling systems, that need constant replacing</e1>,  <e2>The incentives were designed to attract the kind of large, hyperscale developments needed by companies like Apple, which in 2017 decided to place a new 400K SF, $1.3B hyperscale data center just outside of Des Moines in Waukee, Iowa, a state that had a robust set of incentives, said Tyler Diers, director of legislative relations of the Illinois Chamber of Commerce, which helped put the legislation together.</e2>
0292.00022; Renaissance Technologies LLC grew its holdings in shares of Brookdale Senior Living by 54.6% during the second quarter. Renaissance Technologies LLC now owns 11,384,695 shares of the company's stock worth $82,084,000 after buying an additional 4,022,079 shares in the last quarter.; Renaissance Technologies LLC grew its holdings in shares of Brookdale Senior Living by 54.6% during the second quarter.; Renaissance Technologies LLC now owns 11,384,695 shares of the company's stock worth $82,084,000 after buying an additional 4,022,079 shares in the last quarter.; 119; ;0.0;119.0;120.0;281.0; <e1>Renaissance Technologies LLC grew its holdings in shares of Brookdale Senior Living by 54.6% during the second quarter.</e1> <e2>Renaissance Technologies LLC now owns 11,384,695 shares of the company's stock worth $82,084,000 after buying an additional 4,022,079 shares in the last quarter.</e2>
0139.00001.2;Eaton Vance Tax-Managed Global Buy-Write (ETW) to Issue Monthly Dividend of $0.07 on September 30th Tweet  Eaton Vance Tax-Managed Global Buy-Write (NYSE:ETW) announced a monthly dividend on Tuesday, September 3rd, NASDAQ reports. Investors of record on Monday, September 23rd will be given a dividend of 0.073 per share on Monday, September 30th. This represents a $0.88 annualized dividend and a yield of 9.05%.;Eaton Vance Tax-Managed Global Buy-Write (ETW) to Issue Monthly Dividend of $0.07 on September 30th Tweet  Eaton Vance Tax-Managed Global Buy-Write (NYSE:ETW) announced a monthly dividend on Tuesday, September 3rd, NASDAQ reports.;This represents a $0.88 annualized dividend and a yield of 9.05%.;230.0;347.0;0.0;230.0;348.0;413.0;<e1>Eaton Vance Tax-Managed Global Buy-Write (ETW) to Issue Monthly Dividend of $0.07 on September 30th Tweet  Eaton Vance Tax-Managed Global Buy-Write (NYSE:ETW) announced a monthly dividend on Tuesday, September 3rd, NASDAQ reports.</e1> Investors of record on Monday, September 23rd will be given a dividend of 0.073 per share on Monday, September 30th. <e2>This represents a $0.88 annualized dividend and a yield of 9.05%.</e2>
0042.00172;Oklahoma City: Weekend fights at six state prisons that left one inmate dead and more than a dozen others injured were apparently coordinated and the result of race-based gang tension inside the facilities, the head of a prison workers association said Monday.;race-based gang tension inside the facilities, the head of a prison workers association said Monday.;Oklahoma City: Weekend fights at six state prisons that left one inmate dead and more than a dozen others injured were apparently coordinated;;;160.0;260.0;0.0;141.0;<e2>Oklahoma City: Weekend fights at six state prisons that left one inmate dead and more than a dozen others injured were apparently coordinated</e2> and the result of <e1>race-based gang tension inside the facilities, the head of a prison workers association said Monday.</e1>
0107.00016;Chinese peer Fosun, which was already the biggest shareholder in Thomas Cook, agreed last month to inject £450 million into the business as part of an initial £900 million rescue package. In return, the Hong Kong-listed conglomerate acquired a 75 percent stake in Thomas Cook's tour operating division and 25 percent of its airline unit.;Chinese peer Fosun, which was already the biggest shareholder in Thomas Cook, agreed last month to inject £450 million into the business as part of an initial £900 million rescue package.;In return, the Hong Kong-listed conglomerate acquired a 75 percent stake in Thomas Cook's tour operating division and 25 percent of its airline unit.;187.0;;0.0;187.0;188.0;337.0;<e1>Chinese peer Fosun, which was already the biggest shareholder in Thomas Cook, agreed last month to inject £450 million into the business as part of an initial £900 million rescue package.</e1> <e2>In return, the Hong Kong-listed conglomerate acquired a 75 percent stake in Thomas Cook's tour operating division and 25 percent of its airline unit.</e2>
0207.00002;Domestic Economic Developments Data from the National Bureau of Statistics (NBS) showed that real Gross Domestic Product (GDP) grew by 1.94 per cent in the second quarter of 2019, compared with 2.10 and 1.50 per cent in the preceding and corresponding quarters, respectively. This mediocre growth, we believe, is consistent with global trends of dampening output growth and was driven mainly by the oil sector, which grew by 5.15 per cent while the non-oil sector grew by 1.64 per cent.;This mediocre growth, we believe, is consistent with global trends of dampening output growth and was driven mainly by the oil sector, which grew by 5.15 per cent while the non-oil sector grew by 1.64 per cent.;Domestic Economic Developments Data from the National Bureau of Statistics (NBS) showed that real Gross Domestic Product (GDP) grew by 1.94 per cent in the second quarter of 2019, compared with 2.10 and 1.50 per cent in the preceding and corresponding quarters, respectively.;275.0;;276.0;486.0;0.0;275.0;<e2>Domestic Economic Developments Data from the National Bureau of Statistics (NBS) showed that real Gross Domestic Product (GDP) grew by 1.94 per cent in the second quarter of 2019, compared with 2.10 and 1.50 per cent in the preceding and corresponding quarters, respectively.</e2> <e1>This mediocre growth, we believe, is consistent with global trends of dampening output growth and was driven mainly by the oil sector, which grew by 5.15 per cent while the non-oil sector grew by 1.64 per cent.</e1>
0170.00019; Read more …  AbbVie Inc (NYSE:ABBV) Vice Chairman Laura J. Schumacher purchased 25,000 shares of the stock in a transaction dated Monday, September 16th. The stock was bought at an average cost of $70.42 per share, with a total value of $1,760,500.00. Following the transaction, the insider now owns 164,838 shares in the company, valued at $11,607,891.96.; Read more …  AbbVie Inc (NYSE:ABBV) Vice Chairman Laura J. Schumacher purchased 25,000 shares of the stock in a transaction dated Monday, September 16th.; Following the transaction, the insider now owns 164,838 shares in the company, valued at $11,607,891.96.; 153; 251;0.0;153.0;252.0;356.0; <e1>Read more …  AbbVie Inc (NYSE:ABBV) Vice Chairman Laura J. Schumacher purchased 25,000 shares of the stock in a transaction dated Monday, September 16th.</e1> The stock was bought at an average cost of $70.42 per share, with a total value of $1,760,500.00. <e2>Following the transaction, the insider now owns 164,838 shares in the company, valued at $11,607,891.96.</e2>
0121.00001.2; South Africa Edtech Startup Snapplify Secures $2m to Boost International Expansion Reading Time: 2 minutes  Snapplify, a South African edtech startup has secured $2 million funding round to boost international expansion and advance its data analytics capabilities to enhance classroom teaching effectiveness.; boost international expansion and advance its data analytics capabilities to enhance classroom teaching effectiveness.; Snapplify, a South African edtech startup has secured $2 million funding round; ; ;190.0;308.0;108.0;186.0; South Africa Edtech Startup Snapplify Secures $2m to Boost International Expansion Reading Time: 2 minutes  <e2>Snapplify, a South African edtech startup has secured $2 million funding round</e2> to <e1>boost international expansion and advance its data analytics capabilities to enhance classroom teaching effectiveness.</e1>
0303.00006; It was a dream of renewal for this town 70 miles from Washington, which fell on hard times after a rayon manufacturing plant closed in 1989, leaving 1,300 people jobless and 440 acres full of toxic waste.; It was a dream of renewal for this town 70 miles from Washington, which fell on hard times after a rayon manufacturing plant closed in 1989; leaving 1,300 people jobless and 440 acres full of toxic waste.; ; ;0.0;139.0;141.0;204.0; <e1>It was a dream of renewal for this town 70 miles from Washington, which fell on hard times after a rayon manufacturing plant closed in 1989</e1>, <e2>leaving 1,300 people jobless and 440 acres full of toxic waste.</e2>
0183.00011;The company reported $0.03 EPS for the quarter, missing the Thomson Reuters' consensus estimate of $0.19 by ($0.16).;The company reported $0.03 EPS for the quarter;missing the Thomson Reuters' consensus estimate of $0.19 by ($0.16).;;;0.0;46.0;48.0;116.0;<e1>The company reported $0.03 EPS for the quarter</e1>, <e2>missing the Thomson Reuters' consensus estimate of $0.19 by ($0.16).</e2>
0171.00021; If you work in a government position and receive a pension for work not subject to Social Security taxes, your Social Security benefits received as a spouse or widow or widower are reduced by two-thirds of the amount of the pension.; If you work in a government position and receive a pension for work not subject to Social Security taxes; your Social Security benefits received as a spouse or widow or widower are reduced by two-thirds of the amount of the pension.; ; ;0.0;104.0;106.0;232.0; <e1>If you work in a government position and receive a pension for work not subject to Social Security taxes</e1>, <e2>your Social Security benefits received as a spouse or widow or widower are reduced by two-thirds of the amount of the pension.</e2>
0180.00028;Our long-term initiatives, focusing on optimizing our portfolio and streamlining the business, have proven successful thus far  -  -  we now own more than 50% of our consolidated communities.;Our long-term initiatives, focusing on optimizing our portfolio and streamlining the business, have proven successful thus far;we now own more than 50% of our consolidated communities.;;;0.0;126.0;134.0;191.0;<e1>Our long-term initiatives, focusing on optimizing our portfolio and streamlining the business, have proven successful thus far</e1>  -  -  <e2>we now own more than 50% of our consolidated communities.</e2>
0197.00005; On this news, ProPetro's share price fell $4.59 per share, or over 26%, to close at $12.75 per share.; On this news, ProPetro's share price fell $4.59 per share, or over 26%; close at $12.75 per share.; ; ;0.0;70.0;75.0;101.0; <e1>On this news, ProPetro's share price fell $4.59 per share, or over 26%</e1>, to <e2>close at $12.75 per share.</e2>
0005.00003.1; Scaling from 13,000 to 1 million gamers projected According to the report, Immutable's flagship game Gods Unchained has made over $4.5 million in revenue in just over a year, despite it is being played by a closed group of 13,000 gamers. Founded by brothers Robbie and James Ferguson in July 2018, Immutable reportedly expects to grow Gods Unchained from the current 13,000 to 1 million players with the new investment, James stated in an interview with AFR. Based on the Ethereum blockchain, Gods Unchained is a trading card game that has reportedly overtaken other popular TCGs such as Artifact, Faeria and Kards, Immutable stated.; Based on the Ethereum blockchain, Gods Unchained is a trading card game that has reportedly overtaken other popular TCGs such as Artifact, Faeria and Kards, Immutable stated.; Scaling from 13,000 to 1 million gamers projected According to the report, Immutable's flagship game Gods Unchained has made over $4.5 million in revenue in just over a year, despite it is being played by a closed group of 13,000 gamers.; 237; 458;459.0;633.0;0.0;237.0; <e2>Scaling from 13,000 to 1 million gamers projected According to the report, Immutable's flagship game Gods Unchained has made over $4.5 million in revenue in just over a year, despite it is being played by a closed group of 13,000 gamers.</e2> Founded by brothers Robbie and James Ferguson in July 2018, Immutable reportedly expects to grow Gods Unchained from the current 13,000 to 1 million players with the new investment, James stated in an interview with AFR. <e1>Based on the Ethereum blockchain, Gods Unchained is a trading card game that has reportedly overtaken other popular TCGs such as Artifact, Faeria and Kards, Immutable stated.</e1>
0078.00008; Sitharaman also mentioned the raising of liquidity support for the Housing Finance Corporation - to Rs 30,000 - as a major step towards easing the liquidity pressure.; a major step towards easing the liquidity pressure.; Sitharaman also mentioned the raising of liquidity support for the Housing Finance Corporation - to Rs 30,000; ; ;115.0;166.0;0.0;109.0; <e2>Sitharaman also mentioned the raising of liquidity support for the Housing Finance Corporation - to Rs 30,000</e2> - as <e1>a major step towards easing the liquidity pressure.</e1>
0004.00029;If the energy sector in Canada continues down this steep decline that's been caused by legislation over the last three or four years, it will get so much worse for Canadians in terms of jobs and also in terms of revenue across all three levels of government which provide the social services and the public programs that Canadians deserve and expect.;If the energy sector in Canada continues down this steep decline that's been caused by legislation over the last three or four years;it will get so much worse for Canadians in terms of jobs and also in terms of revenue across all three levels of government which provide the social services and the public programs that Canadians deserve and expect.;;;0.0;132.0;134.0;350.0;<e1>If the energy sector in Canada continues down this steep decline that's been caused by legislation over the last three or four years</e1>, <e2>it will get so much worse for Canadians in terms of jobs and also in terms of revenue across all three levels of government which provide the social services and the public programs that Canadians deserve and expect.</e2>
0117.00004; - - Sell Ratings - Hold Ratings - Buy Ratings - Strong Buy Ratings - Rating Score  - CBTX - 0 - 1 - 0 - 0 - 2.00  - KeyCorp - 1 - 11 - 10 - 0 - 2.41  CBTX presently has a consensus target price of $31.00, suggesting a potential upside of 5.91%.; CBTX presently has a consensus target price of $31.00; a potential upside of 5.91%.; ; ;150.0;203.0;216.0;244.0; - - Sell Ratings - Hold Ratings - Buy Ratings - Strong Buy Ratings - Rating Score  - CBTX - 0 - 1 - 0 - 0 - 2.00  - KeyCorp - 1 - 11 - 10 - 0 - 2.41  <e1>CBTX presently has a consensus target price of $31.00</e1>, suggesting <e2>a potential upside of 5.91%.</e2>
0481.00006; Earlier this week, the New Jersey Globe reported Corbett pays just $900 annually on a 5.5 acres portion of his property because of a tax break granted by the state's Farmland Assessment Act.; a tax break granted by the state's Farmland Assessment Act.; Earlier this week, the New Jersey Globe reported Corbett pays just $900 annually on a 5.5 acres portion of his property; ; ;131.0;190.0;0.0;119.0; <e2>Earlier this week, the New Jersey Globe reported Corbett pays just $900 annually on a 5.5 acres portion of his property</e2> because of <e1>a tax break granted by the state's Farmland Assessment Act.</e1>
